Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district,sunrise_time,sunset_time,daylight_hours
01/02/2017,Monday,BAYVIEW,0,2,0,6,15,0,0,14,37,725,1703,9.633333333333333
01/02/2017,Monday,CENTRAL,0,1,0,5,9,0,0,22,37,725,1703,9.633333333333333
01/02/2017,Monday,INGLESIDE,0,0,0,5,7,0,0,8,20,725,1703,9.633333333333333
01/02/2017,Monday,MISSION,1,1,0,7,20,0,0,15,44,725,1703,9.633333333333333
01/02/2017,Monday,NORTHERN,1,1,0,7,17,1,0,16,43,725,1703,9.633333333333333
01/02/2017,Monday,PARK,1,0,0,3,11,1,0,14,30,725,1703,9.633333333333333
01/02/2017,Monday,RICHMOND,0,0,0,0,1,0,0,8,9,725,1703,9.633333333333333
01/02/2017,Monday,SOUTHERN,2,2,0,4,11,2,0,12,33,725,1703,9.633333333333333
01/02/2017,Monday,TARAVAL,0,1,0,7,4,0,0,18,30,725,1703,9.633333333333333
01/02/2017,Monday,TENDERLOIN,0,1,0,2,16,0,0,7,26,725,1703,9.633333333333333
01/03/2012,Tuesday,BAYVIEW,2,1,0,6,11,0,0,10,30,725,1703,9.633333333333333
01/03/2012,Tuesday,CENTRAL,0,0,0,5,4,0,0,8,17,725,1703,9.633333333333333
01/03/2012,Tuesday,INGLESIDE,1,1,0,6,7,1,0,11,27,725,1703,9.633333333333333
01/03/2012,Tuesday,MISSION,3,2,0,11,4,0,0,14,34,725,1703,9.633333333333333
01/03/2012,Tuesday,NORTHERN,0,0,0,5,17,0,0,25,47,725,1703,9.633333333333333
01/03/2012,Tuesday,PARK,2,1,0,5,7,0,0,5,20,725,1703,9.633333333333333
01/03/2012,Tuesday,RICHMOND,0,0,0,2,4,1,0,10,17,725,1703,9.633333333333333
01/03/2012,Tuesday,SOUTHERN,1,1,1,7,11,0,0,21,42,725,1703,9.633333333333333
01/03/2012,Tuesday,TARAVAL,0,1,0,6,8,0,0,6,21,725,1703,9.633333333333333
01/03/2012,Tuesday,TENDERLOIN,0,12,0,7,10,0,0,7,36,725,1703,9.633333333333333
01/03/2013,Thursday,BAYVIEW,0,1,0,9,3,0,0,9,22,725,1704,9.65
01/03/2013,Thursday,CENTRAL,0,0,0,6,8,1,0,15,30,725,1704,9.65
01/03/2013,Thursday,INGLESIDE,0,0,1,9,6,1,0,17,34,725,1704,9.65
01/03/2013,Thursday,MISSION,0,1,0,5,8,0,0,15,29,725,1704,9.65
01/03/2013,Thursday,NORTHERN,0,2,0,5,3,0,0,19,29,725,1704,9.65
01/03/2013,Thursday,PARK,1,0,0,2,2,0,0,7,12,725,1704,9.65
01/03/2013,Thursday,RICHMOND,0,2,0,3,5,0,0,12,22,725,1704,9.65
01/03/2013,Thursday,SOUTHERN,0,4,0,9,18,1,0,30,62,725,1704,9.65
01/03/2013,Thursday,TARAVAL,2,1,0,2,3,0,0,10,18,725,1704,9.65
01/03/2013,Thursday,TENDERLOIN,1,3,0,7,5,0,0,6,22,725,1704,9.65
01/03/2014,Friday,BAYVIEW,0,0,0,3,7,0,0,10,20,725,1703,9.633333333333333
01/03/2014,Friday,CENTRAL,1,1,0,9,7,1,0,19,38,725,1703,9.633333333333333
01/03/2014,Friday,INGLESIDE,2,1,0,4,6,0,0,13,26,725,1703,9.633333333333333
01/03/2014,Friday,MISSION,1,3,0,13,17,0,0,14,48,725,1703,9.633333333333333
01/03/2014,Friday,NORTHERN,1,2,0,13,9,0,0,21,46,725,1703,9.633333333333333
01/03/2014,Friday,PARK,4,1,0,3,4,0,0,6,18,725,1703,9.633333333333333
